,Period,Province,Product,Quantity
567,201702,HAKKARİ,PRODUCT_C,71
568,201702,HAKKARİ,PRODUCT_V,0
569,201702,HAKKARİ,PRODUCT_X,4
570,201702,HATAY,PRODUCT_A,204
571,201702,HATAY,PRODUCT_B,2135
572,201702,HATAY,PRODUCT_C,534
573,201702,HATAY,PRODUCT_V,4
574,201702,HATAY,PRODUCT_X,375
575,201702,ISPARTA,PRODUCT_A,27
576,201702,ISPARTA,PRODUCT_B,528
577,201702,ISPARTA,PRODUCT_C,282
578,201702,ISPARTA,PRODUCT_V,6
579,201702,ISPARTA,PRODUCT_X,156
580,201702,IĞDIR,PRODUCT_A,12
581,201702,IĞDIR,PRODUCT_B,616
582,201702,IĞDIR,PRODUCT_C,182
583,201702,IĞDIR,PRODUCT_V,0
584,201702,IĞDIR,PRODUCT_X,31
585,201702,KAHRAMANMARAŞ,PRODUCT_A,43
586,201702,KAHRAMANMARAŞ,PRODUCT_B,313
587,201702,KAHRAMANMARAŞ,PRODUCT_C,445
588,201702,KAHRAMANMARAŞ,PRODUCT_V,3
589,201702,KAHRAMANMARAŞ,PRODUCT_X,404
590,201702,KARABÜK,PRODUCT_A,4
591,201702,KARABÜK,PRODUCT_B,3603
592,201702,KARABÜK,PRODUCT_C,68
