geoName,Xalfu,Period
Yalova Province,0.0,201711
Yozgat,0.0,201711
Zonguldak,0.0,201711
Çanakkale Province,0.0,201711
Çankırı,0.0,201711
Çorum Province,0.0,201711
İstanbul,0.0,201711
İzmir,0.0,201711
Şanlıurfa Province,0.0,201711
Şırnak,0.0,201711
Adana,0.0,201712
Adıyaman Province,0.0,201712
Afyonkarahisar Province,0.0,201712
Aksaray,0.0,201712
Amasya Province,0.0,201712
Ankara,0.0,201712
Antalya,0.0,201712
Ardahan Province,0.0,201712
Artvin,0.0,201712
Aydın Province,0.0,201712
Ağrı,0.0,201712
Balıkesir Province,0.0,201712
Bartın Province,0.0,201712
Batman,0.0,201712
Bayburt,0.0,201712
Bilecik,0.0,201712
Bingöl Province,0.0,201712
Bitlis,0.0,201712
Bolu,0.0,201712
Burdur Province,0.0,201712
Bursa,0.0,201712
Denizli,0.0,201712
Diyarbakır,0.0,201712
Düzce Province,0.0,201712
Edirne,0.0,201712
Elazığ,0.0,201712
Erzincan,0.0,201712
Erzurum,0.0,201712
Eskişehir Province,0.0,201712
Gaziantep,0.0,201712
Giresun,0.0,201712
Gümüşhane,0.0,201712
Hakkâri,0.0,201712
Hatay,0.0,201712
Isparta Province,0.0,201712
Iğdır,0.0,201712
Kahramanmaraş Province,0.0,201712
Karabük,0.0,201712
Karaman,0.0,201712
Kars,0.0,201712
Kastamonu,0.0,201712
Kayseri Province,0.0,201712
Kilis,0.0,201712
Kocaeli,0.0,201712
Konya,0.0,201712
Kütahya,0.0,201712
Kırklareli,0.0,201712
Kırıkkale,0.0,201712
Kırşehir,0.0,201712
Malatya,0.0,201712
Manisa,0.0,201712
Mardin,0.0,201712
Mersin Province,0.0,201712
Muğla Province,0.0,201712
Muş,0.0,201712
Nevşehir,0.0,201712
Niğde,0.0,201712
Ordu,0.0,201712
Osmaniye,0.0,201712
Rize,0.0,201712
Sakarya,0.0,201712
Samsun,0.0,201712
Siirt Province,0.0,201712
Sinop Province,0.0,201712
Sivas,0.0,201712
Tekirdağ,0.0,201712
Tokat,0.0,201712
Trabzon,0.0,201712
Tunceli,0.0,201712
Uşak,0.0,201712
Van,0.0,201712
Yalova Province,0.0,201712
Yozgat,0.0,201712
Zonguldak,0.0,201712
Çanakkale Province,0.0,201712
Çankırı,0.0,201712
Çorum Province,0.0,201712
İstanbul,3.787878787878788,201712
İzmir,0.0,201712
Şanlıurfa Province,0.0,201712
Şırnak,0.0,201712
Adana,0.0,201801
Adıyaman Province,0.0,201801
Afyonkarahisar Province,0.0,201801
Aksaray,0.0,201801
Amasya Province,0.0,201801
Ankara,9.30232558139535,201801
Antalya,0.0,201801
Ardahan Province,0.0,201801
Artvin,0.0,201801
Aydın Province,0.0,201801
Ağrı,0.0,201801
Balıkesir Province,0.0,201801
Bartın Province,0.0,201801
Batman,0.0,201801
Bayburt,0.0,201801
Bilecik,0.0,201801
Bingöl Province,0.0,201801
Bitlis,0.0,201801
Bolu,0.0,201801
Burdur Province,0.0,201801
Bursa,0.0,201801
Denizli,0.0,201801
Diyarbakır,0.0,201801
Düzce Province,0.0,201801
Edirne,0.0,201801
Elazığ,0.0,201801
Erzincan,0.0,201801
Erzurum,0.0,201801
Eskişehir Province,0.0,201801
Gaziantep,0.0,201801
Giresun,0.0,201801
Gümüşhane,0.0,201801
Hakkâri,0.0,201801
Hatay,0.0,201801
