geoName,grip,Period
Aydın Province,1.1522633744855966,201812
Ağrı,1.1934156378600822,201812
Balıkesir Province,0.8847736625514403,201812
Bartın Province,1.5432098765432098,201812
Batman,0.823045267489712,201812
Bayburt,1.5432098765432098,201812
Bilecik,1.1728395061728394,201812
Bingöl Province,0.0,201812
Bitlis,1.4403292181069958,201812
Bolu,1.0699588477366255,201812
Burdur Province,1.8106995884773662,201812
Bursa,0.9876543209876543,201812
Denizli,0.7818930041152263,201812
Diyarbakır,0.6172839506172839,201812
Düzce Province,1.91358024691358,201812
Edirne,0.5761316872427983,201812
Elazığ,1.008230452674897,201812
Erzincan,0.8847736625514403,201812
Erzurum,0.823045267489712,201812
Eskişehir Province,1.1522633744855966,201812
Gaziantep,0.9259259259259259,201812
Giresun,0.8847736625514403,201812
Gümüşhane,1.2757201646090535,201812
Hakkâri,2.05761316872428,201812
Hatay,1.02880658436214,201812
Isparta Province,1.419753086419753,201812
Iğdır,1.0905349794238683,201812
Kahramanmaraş Province,0.6378600823045267,201812
Karabük,0.7407407407407407,201812
Karaman,0.9876543209876543,201812
Kars,1.0905349794238683,201812
Kastamonu,0.8641975308641975,201812
Kayseri Province,1.2962962962962963,201812
Kilis,1.131687242798354,201812
Kocaeli,0.8436213991769547,201812
Konya,0.823045267489712,201812
Kütahya,1.131687242798354,201812
Kırklareli,0.9876543209876543,201812
Kırıkkale,0.6995884773662551,201812
Kırşehir,1.1934156378600822,201812
Malatya,0.7613168724279835,201812
Manisa,0.9259259259259259,201812
Mardin,0.8436213991769547,201812
Mersin Province,0.8436213991769547,201812
Muğla Province,0.7613168724279835,201812
Muş,0.8641975308641975,201812
Nevşehir,1.02880658436214,201812
Niğde,0.6378600823045267,201812
Ordu,0.8847736625514403,201812
Osmaniye,0.8847736625514403,201812
Rize,0.34979423868312753,201812
Sakarya,0.7201646090534979,201812
Samsun,0.9259259259259259,201812
Siirt Province,0.7407407407407407,201812
Sinop Province,0.7407407407407407,201812
Sivas,1.1934156378600822,201812
Tekirdağ,1.02880658436214,201812
Tokat,1.2345679012345678,201812
Trabzon,0.6172839506172839,201812
Tunceli,0.0,201812
Uşak,0.6172839506172839,201812
Van,0.9259259259259259,201812
Yalova Province,0.5967078189300411,201812
Yozgat,0.8436213991769547,201812
Zonguldak,1.213991769547325,201812
Çanakkale Province,0.6172839506172839,201812
Çankırı,1.7489711934156378,201812
Çorum Province,0.9670781893004115,201812
İstanbul,0.9465020576131687,201812
İzmir,0.9053497942386831,201812
Şanlıurfa Province,0.5761316872427983,201812
Şırnak,1.419753086419753,201812
Adana,0.33454545454545453,201901
Adıyaman Province,0.14545454545454545,201901
Afyonkarahisar Province,0.509090909090909,201901
Aksaray,0.14545454545454545,201901
Amasya Province,0.3054545454545455,201901
Ankara,0.33454545454545453,201901
Antalya,0.33454545454545453,201901
Ardahan Province,0.5818181818181818,201901
