Period,Province,Product,Quantity,Month,Year
201702,BITLIS,PRODUCT_A,7,2,2017
201702,BITLIS,PRODUCT_B,108,2,2017
201702,BITLIS,PRODUCT_C,66,2,2017
201702,BITLIS,PRODUCT_V,0,2,2017
201702,BITLIS,PRODUCT_X,45,2,2017
201702,BOLU,PRODUCT_A,67,2,2017
201702,BOLU,PRODUCT_B,1224,2,2017
201702,BOLU,PRODUCT_C,119,2,2017
201702,BOLU,PRODUCT_V,2,2,2017
201702,BOLU,PRODUCT_X,100,2,2017
201702,BURDUR,PRODUCT_A,44,2,2017
201702,BURDUR,PRODUCT_B,691,2,2017
201702,BURDUR,PRODUCT_C,137,2,2017
201702,BURDUR,PRODUCT_V,0,2,2017
201702,BURDUR,PRODUCT_X,75,2,2017
201702,BURSA,PRODUCT_A,289,2,2017
201702,BURSA,PRODUCT_B,5556,2,2017
201702,BURSA,PRODUCT_C,1801,2,2017
201702,BURSA,PRODUCT_V,402,2,2017
201702,BURSA,PRODUCT_X,413,2,2017
201702,BİLECİK,PRODUCT_A,-4,2,2017
201702,BİLECİK,PRODUCT_B,576,2,2017
201702,BİLECİK,PRODUCT_C,93,2,2017
201702,BİLECİK,PRODUCT_V,2,2,2017
201702,BİLECİK,PRODUCT_X,58,2,2017
201702,CANAKKALE,PRODUCT_A,28,2,2017
201702,CANAKKALE,PRODUCT_B,1348,2,2017
201702,CANAKKALE,PRODUCT_C,275,2,2017
201702,CANAKKALE,PRODUCT_V,8,2,2017
201702,CANAKKALE,PRODUCT_X,169,2,2017
201702,DENİZLİ,PRODUCT_A,111,2,2017
201702,DENİZLİ,PRODUCT_B,1744,2,2017
201702,DENİZLİ,PRODUCT_C,574,2,2017
201702,DENİZLİ,PRODUCT_V,185,2,2017
201702,DENİZLİ,PRODUCT_X,288,2,2017
201702,DÜZCE,PRODUCT_A,45,2,2017
201702,DÜZCE,PRODUCT_B,131,2,2017
201702,DÜZCE,PRODUCT_C,333,2,2017
201702,DÜZCE,PRODUCT_V,3,2,2017
201702,DÜZCE,PRODUCT_X,97,2,2017
201702,DİYARBAKIR,PRODUCT_A,104,2,2017
201702,DİYARBAKIR,PRODUCT_B,653,2,2017
201702,DİYARBAKIR,PRODUCT_C,625,2,2017
201702,DİYARBAKIR,PRODUCT_V,0,2,2017
